gisid,Calendar year,State Route,Loc Road Name RMS,Intersection From,Segment From,Offset From,Intersection To,Segment To,Offset to,Municipality Name1,Municipality Name2,Municipality Name3,Leg Dist 1,Leg Dist 2,Leg Dist 3,Senatorial Dist1,Senatorial Dist2,Cong District,Miles Planned,County,longcode,shortcode
,2026,291,INDUSTRIAL HW,300Ft East of Harrahs Blvd,101,0,Stevens Dr,181,3043,EDDYSTONE,CHESTER CITY,TINICUM,185,162,159,09,"",05,4.07,Delaware,02910101000001813043,029101010181
,2027,2024,DEVON RD,Paoli Pk / SR 2014,10,0,Darby Rd / SR 2026,20,3123,WILLISTOWN,TREDYFFRIN,"",157,"","",19,"",06,1.27,Chester,20240010000000203123,202400100020
,2024,291,BROAD ST,Oregon Ave / SR 2001,140,0,Penn Sq / SR 3022,180,2234,PHILADELPHIA,"","",184,182,"",1,"",5,2.43,Philadelphia,02910140000001802234,029101400180
,2025,1031,SAINT MATTHEWS,Houndstooth Lane,30,0,Beaver Hill Rd / Flint Rd,50,3989,WEST VINCENT,"","",155,"","",44,"",06,2.48,Chester,10310030000000503989,103100300050
,2024,63,MAIN ST,Valley Forge Rd,272,0,Greenwood Rd,312,1564,LANSDALE,MONTGOMERY,MONTGOMERY,053,053,"",12,"",04,1.7,Montgomery,00630272000003121564,006302720312
,2024,8047,RAMP BC-2,SR 0202,260,0,Swedesford Rd / SR1010,260,1956,TREDYFFRIN,"","",157,"","",19,"",06,0.37,Chester,80470260000002601956,804702600260
,2024,13,SECOND ST, Penn St,92,1721,Edgemont St,92,1956,CHESTER CITY,"","",159,"","",09,"",05,0.04,Delaware,00130092172100921956,001300920092
,2026,3025,BETHEL RD,Garnet Mine Rd / SR 3038,10,0,Conchester Hwy / SR 0322,42,74,CONCORD,"","",160,"","",09,"",05,1.94,Delaware,30250010000000420074,302500100042
,2025,2029,OXFORD VALLEY R,Big Oak Rd / SR 2024,150,227,Stony Hill Rd / SR 2069,170,2844,LOWER MAKEFIELD,"","",031,"","",10,"",01,1.5,Bucks,20290150022701702844,202901500170
,2028,13,BALTIMORE AV,80Ft West of Sixty-First St,10,0,Powelton Ave / SR 3003,70,1102,PHILADELPHIA,"","",188,10,"",8,"",3,0.81,Philadelphia,00130010000000701102,001300100070
,2024,2009,ARAMINGO AV,Delaware Av / Richmond St / SR 2001,11,0,Roosevelt Blvd / SR 0001 / SR 6001,121,3417,PHILADELPHIA,"","",202,180,179,1,"",2,5.26,Philadelphia,20090011000001213417,200900110121
,2024,3024,WALLINGFORD AV,Manchester Ave / SR 3019,10,0,Providence Rd / SR 0252,10,3747,NETHER PROVIDENCE,"","",168,"","",26,"",05,0.71,Delaware,30240010000000103747,302400100010
,2024,3020,DUTTON MILL RD,Pennell Rd / SR 0452,10,0,Edgemont Ave / SR 0352,60,2062,MIDDLETOWN,ASTON,"",168,161,"",09,"",05,2.44,Delaware,30200010000000602062,302000100060
,2024,2015,HOOK RD,200Ft Southeast of Industrial Drive,11,0,Calcon Hook Rd / SR 2011,11,2058,DARBY,"","",185,"","",08,"",05,0.39,Delaware,20150011000000112058,201500110011
,2025,841,CHESTERVILLE RD,200Ft South of Lewisville Rd /SR 0472,10,0,State Rd,150,3911,NEW LONDON,LONDON GROVE,FRANKLIN,013,"","",19,"",06,8.74,Chester,08410010000001503911,084100100150
,2025,3055,THORNDALE MARSH,Louanna Ave,100,0,Business 30 / SR 3070,100,1204,CALN,"","",074,"","",44,"",06,0.23,Chester,30550100000001001204,305501000100
